number_features,number_tumors_per_feature,total_number_normal_samples,mean_fraction_of_nt_at_risk_mutated_in_target_bins,mean_fraction_of_nt_at_risk_mutated_in_nontarget_bins
2,20,100,0.00002000000,0.0000000001
2,20,100,0.00100000000,0.0000001000
2,20,100,0.00100000000,0.0000000500
2,20,100,0.00100000000,0.0000000050
2,20,100,0.00100000000,0.0000000001
2,20,150,0.00000000005,0.0000001000
2,20,150,0.00000000005,0.0000000500
2,20,150,0.00000000005,0.0000000050
2,20,150,0.00000000005,0.0000000001
2,20,150,0.00000005000,0.0000001000
2,20,150,0.00000005000,0.0000000500
2,20,150,0.00000005000,0.0000000050
2,20,150,0.00000005000,0.0000000001
2,20,150,0.00002000000,0.0000001000
2,20,150,0.00002000000,0.0000000500
2,20,150,0.00002000000,0.0000000050
2,20,150,0.00002000000,0.0000000001
2,20,150,0.00100000000,0.0000001000
2,20,150,0.00100000000,0.0000000500
2,20,150,0.00100000000,0.0000000050
2,20,150,0.00100000000,0.0000000001
2,20,200,0.00000000005,0.0000001000
2,20,200,0.00000000005,0.0000000500
2,20,200,0.00000000005,0.0000000050
2,20,200,0.00000000005,0.0000000001
2,20,200,0.00000005000,0.0000001000
2,20,200,0.00000005000,0.0000000500
2,20,200,0.00000005000,0.0000000050
2,20,200,0.00000005000,0.0000000001
2,20,200,0.00002000000,0.0000001000
2,20,200,0.00002000000,0.0000000500
2,20,200,0.00002000000,0.0000000050
2,20,200,0.00002000000,0.0000000001
2,20,200,0.00100000000,0.0000001000
2,20,200,0.00100000000,0.0000000500
2,20,200,0.00100000000,0.0000000050
2,20,200,0.00100000000,0.0000000001
2,25,50,0.00000000005,0.0000001000
2,25,50,0.00000000005,0.0000000500
2,25,50,0.00000000005,0.0000000050
2,25,50,0.00000000005,0.0000000001
2,25,50,0.00000005000,0.0000001000
2,25,50,0.00000005000,0.0000000500
2,25,50,0.00000005000,0.0000000050
2,25,50,0.00000005000,0.0000000001
2,25,50,0.00002000000,0.0000001000
2,25,50,0.00002000000,0.0000000500
2,25,50,0.00002000000,0.0000000050
2,25,50,0.00002000000,0.0000000001
2,25,50,0.00100000000,0.0000001000
2,25,50,0.00100000000,0.0000000500
2,25,50,0.00100000000,0.0000000050
2,25,50,0.00100000000,0.0000000001
2,25,100,0.00000000005,0.0000001000
2,25,100,0.00000000005,0.0000000500
2,25,100,0.00000000005,0.0000000050
2,25,100,0.00000000005,0.0000000001
2,25,100,0.00000005000,0.0000001000
2,25,100,0.00000005000,0.0000000500
2,25,100,0.00000005000,0.0000000050
2,25,100,0.00000005000,0.0000000001
2,25,100,0.00002000000,0.0000001000
2,25,100,0.00002000000,0.0000000500
2,25,100,0.00002000000,0.0000000050
2,25,100,0.00002000000,0.0000000001
2,25,100,0.00100000000,0.0000001000
2,25,100,0.00100000000,0.0000000500
2,25,100,0.00100000000,0.0000000050
2,25,100,0.00100000000,0.0000000001
2,25,150,0.00000000005,0.0000001000
2,25,150,0.00000000005,0.0000000500
2,25,150,0.00000000005,0.0000000050
2,25,150,0.00000000005,0.0000000001
2,25,150,0.00000005000,0.0000001000
2,25,150,0.00000005000,0.0000000500
2,25,150,0.00000005000,0.0000000050
2,25,150,0.00000005000,0.0000000001
2,25,150,0.00002000000,0.0000001000
2,25,150,0.00002000000,0.0000000500
2,25,150,0.00002000000,0.0000000050
2,25,150,0.00002000000,0.0000000001
2,25,150,0.00100000000,0.0000001000
2,25,150,0.00100000000,0.0000000500
2,25,150,0.00100000000,0.0000000050
2,25,150,0.00100000000,0.0000000001
2,25,200,0.00000000005,0.0000001000
2,25,200,0.00000000005,0.0000000500
2,25,200,0.00000000005,0.0000000050
2,25,200,0.00000000005,0.0000000001
2,25,200,0.00000005000,0.0000001000
2,25,200,0.00000005000,0.0000000500
2,25,200,0.00000005000,0.0000000050
2,25,200,0.00000005000,0.0000000001
2,25,200,0.00002000000,0.0000001000
2,25,200,0.00002000000,0.0000000500
2,25,200,0.00002000000,0.0000000050
2,25,200,0.00002000000,0.0000000001
2,25,200,0.00100000000,0.0000001000
2,25,200,0.00100000000,0.0000000500
2,25,200,0.00100000000,0.0000000050
2,25,200,0.00100000000,0.0000000001
5,5,50,0.00000000005,0.0000001000
5,5,50,0.00000000005,0.0000000500
5,5,50,0.00000000005,0.0000000050
5,5,50,0.00000000005,0.0000000001
5,5,50,0.00000005000,0.0000001000
5,5,50,0.00000005000,0.0000000500
5,5,50,0.00000005000,0.0000000050
5,5,50,0.00000005000,0.0000000001
5,5,50,0.00002000000,0.0000001000
5,5,50,0.00002000000,0.0000000500
5,5,50,0.00002000000,0.0000000050
5,5,50,0.00002000000,0.0000000001
5,5,50,0.00100000000,0.0000001000
5,5,50,0.00100000000,0.0000000500
5,5,50,0.00100000000,0.0000000050
5,5,50,0.00100000000,0.0000000001
5,5,100,0.00000000005,0.0000001000
5,5,100,0.00000000005,0.0000000500
5,5,100,0.00000000005,0.0000000050
5,5,100,0.00000000005,0.0000000001
5,5,100,0.00000005000,0.0000001000
5,5,100,0.00000005000,0.0000000500
5,5,100,0.00000005000,0.0000000050
5,5,100,0.00000005000,0.0000000001
5,5,100,0.00002000000,0.0000001000
5,5,100,0.00002000000,0.0000000500
5,5,100,0.00002000000,0.0000000050
5,5,100,0.00002000000,0.0000000001
5,5,100,0.00100000000,0.0000001000
5,5,100,0.00100000000,0.0000000500
5,5,100,0.00100000000,0.0000000050
5,5,100,0.00100000000,0.0000000001
5,5,150,0.00000000005,0.0000001000
5,5,150,0.00000000005,0.0000000500
