number_features,number_deficient_repair_samples_per_feature,total_number_wildtype_samples,mutrate_fully_unrepaired_bins,mutrate_fully_repaired_bins
4,1,25,0.0000001,0.0000000010
4,1,25,0.0000001,0.0000000100
4,1,25,0.0000001,0.0000001000
4,1,25,0.0000010,0.0000000001
4,1,25,0.0000010,0.0000000010
4,1,25,0.0000010,0.0000000100
4,1,25,0.0000010,0.0000001000
4,1,25,0.0000100,0.0000000001
4,1,25,0.0000100,0.0000000010
4,1,25,0.0000100,0.0000000100
4,1,25,0.0000100,0.0000001000
4,1,25,0.0001000,0.0000000001
4,1,25,0.0001000,0.0000000010
4,1,25,0.0001000,0.0000000100
4,1,25,0.0001000,0.0000001000
4,1,50,0.0000001,0.0000000001
4,1,50,0.0000001,0.0000000010
4,1,50,0.0000001,0.0000000100
4,1,50,0.0000001,0.0000001000
4,1,50,0.0000010,0.0000000001
4,1,50,0.0000010,0.0000000010
4,1,50,0.0000010,0.0000000100
4,1,50,0.0000010,0.0000001000
4,1,50,0.0000100,0.0000000001
4,1,50,0.0000100,0.0000000010
4,1,50,0.0000100,0.0000000100
4,1,50,0.0000100,0.0000001000
4,1,50,0.0001000,0.0000000001
4,1,50,0.0001000,0.0000000010
4,1,50,0.0001000,0.0000000100
4,1,50,0.0001000,0.0000001000
4,1,100,0.0000001,0.0000000001
4,1,100,0.0000001,0.0000000010
4,1,100,0.0000001,0.0000000100
4,1,100,0.0000001,0.0000001000
4,1,100,0.0000010,0.0000000001
4,1,100,0.0000010,0.0000000010
4,1,100,0.0000010,0.0000000100
4,1,100,0.0000010,0.0000001000
4,1,100,0.0000100,0.0000000001
4,1,100,0.0000100,0.0000000010
4,1,100,0.0000100,0.0000000100
4,1,100,0.0000100,0.0000001000
4,1,100,0.0001000,0.0000000001
4,1,100,0.0001000,0.0000000010
4,1,100,0.0001000,0.0000000100
4,1,100,0.0001000,0.0000001000
4,1,200,0.0000001,0.0000000001
4,1,200,0.0000001,0.0000000010
4,1,200,0.0000001,0.0000000100
4,1,200,0.0000001,0.0000001000
4,1,200,0.0000010,0.0000000001
4,1,200,0.0000010,0.0000000010
4,1,200,0.0000010,0.0000000100
4,1,200,0.0000010,0.0000001000
4,1,200,0.0000100,0.0000000001
4,1,200,0.0000100,0.0000000010
4,1,200,0.0000100,0.0000000100
4,1,200,0.0000100,0.0000001000
4,1,200,0.0001000,0.0000000001
4,1,200,0.0001000,0.0000000010
4,1,200,0.0001000,0.0000000100
4,1,200,0.0001000,0.0000001000
4,5,25,0.0000001,0.0000000001
4,5,25,0.0000001,0.0000000010
4,5,25,0.0000001,0.0000000100
4,5,25,0.0000001,0.0000001000
4,5,25,0.0000010,0.0000000001
4,5,25,0.0000010,0.0000000010
4,5,25,0.0000010,0.0000000100
4,5,25,0.0000010,0.0000001000
4,5,25,0.0000100,0.0000000001
4,5,25,0.0000100,0.0000000010
4,5,25,0.0000100,0.0000000100
4,5,25,0.0000100,0.0000001000
4,5,25,0.0001000,0.0000000001
4,5,25,0.0001000,0.0000000010
4,5,25,0.0001000,0.0000000100
4,5,25,0.0001000,0.0000001000
4,5,50,0.0000001,0.0000000001
4,5,50,0.0000001,0.0000000010
4,5,50,0.0000001,0.0000000100
4,5,50,0.0000001,0.0000001000
4,5,50,0.0000010,0.0000000001
4,5,50,0.0000010,0.0000000010
4,5,50,0.0000010,0.0000000100
4,5,50,0.0000010,0.0000001000
4,5,50,0.0000100,0.0000000001
4,5,50,0.0000100,0.0000000010
4,5,50,0.0000100,0.0000000100
4,5,50,0.0000100,0.0000001000
4,5,50,0.0001000,0.0000000001
4,5,50,0.0001000,0.0000000010
4,5,50,0.0001000,0.0000000100
4,5,50,0.0001000,0.0000001000
4,5,100,0.0000001,0.0000000001
4,5,100,0.0000001,0.0000000010
4,5,100,0.0000001,0.0000000100
4,5,100,0.0000001,0.0000001000
4,5,100,0.0000010,0.0000000001
4,5,100,0.0000010,0.0000000010
4,5,100,0.0000010,0.0000000100
4,5,100,0.0000010,0.0000001000
4,5,100,0.0000100,0.0000000001
4,5,100,0.0000100,0.0000000010
4,5,100,0.0000100,0.0000000100
4,5,100,0.0000100,0.0000001000
4,5,100,0.0001000,0.0000000001
4,5,100,0.0001000,0.0000000010
4,5,100,0.0001000,0.0000000100
4,5,100,0.0001000,0.0000001000
4,5,200,0.0000001,0.0000000001
4,5,200,0.0000001,0.0000000010
4,5,200,0.0000001,0.0000000100
4,5,200,0.0000001,0.0000001000
4,5,200,0.0000010,0.0000000001
4,5,200,0.0000010,0.0000000010
4,5,200,0.0000010,0.0000000100
4,5,200,0.0000010,0.0000001000
4,5,200,0.0000100,0.0000000001
4,5,200,0.0000100,0.0000000010
4,5,200,0.0000100,0.0000000100
4,5,200,0.0000100,0.0000001000
4,5,200,0.0001000,0.0000000001
4,5,200,0.0001000,0.0000000010
4,5,200,0.0001000,0.0000000100
4,5,200,0.0001000,0.0000001000
4,10,25,0.0000001,0.0000000001
4,10,25,0.0000001,0.0000000010
4,10,25,0.0000001,0.0000000100
4,10,25,0.0000001,0.0000001000
4,10,25,0.0000010,0.0000000001
4,10,25,0.0000010,0.0000000010
4,10,25,0.0000010,0.0000000100
4,10,25,0.0000010,0.0000001000
4,10,25,0.0000100,0.0000000001
4,10,25,0.0000100,0.0000000010
4,10,25,0.0000100,0.0000000100
4,10,25,0.0000100,0.0000001000
4,10,25,0.0001000,0.0000000001
4,10,25,0.0001000,0.0000000010
4,10,25,0.0001000,0.0000000100
4,10,25,0.0001000,0.0000001000
4,10,50,0.0000001,0.0000000001
4,10,50,0.0000001,0.0000000010
4,10,50,0.0000001,0.0000000100
4,10,50,0.0000001,0.0000001000
4,10,50,0.0000010,0.0000000001
4,10,50,0.0000010,0.0000000010
4,10,50,0.0000010,0.0000000100
4,10,50,0.0000010,0.0000001000
4,10,50,0.0000100,0.0000000001
4,10,50,0.0000100,0.0000000010
4,10,50,0.0000100,0.0000000100
4,10,50,0.0000100,0.0000001000
4,10,50,0.0001000,0.0000000001
4,10,50,0.0001000,0.0000000010
4,10,50,0.0001000,0.0000000100
